Team,City,Founded,Home Stadium,Championships,Introduction
KIA 타이거즈,광주,1982,광주-기아 챔피언스 필드,11,"KBO 리그의 전통 강호로, 역대 최다 우승 기록을 보유하고 있다. '타이거즈 스피릿'으로 유명하며, 양현종, 안치홍 등 스타 선수들을 배출했다. 광주를 연고로 하는 유일한 프로야구팀으로 지역 사랑이 강하다."
두산 베어스,서울,1982,잠실야구장,6,"2015년부터 2019년까지 5년 연속 한국시리즈에 진출한 강팀이다. 김태형 감독 체제에서 체계적인 선수 육성으로 주목받았으며, 정수빈, 김재환 등 핵심 선수들의 활약이 돋보인다."
SSG 랜더스,인천,2000,인천SSG랜더스필드,5,"SK 와이번스에서 SSG 랜더스로 구단명을 변경했다. 2022년 와일드카드 결정전부터 한국시리즈까지 전승으로 우승을 차지하며 '노히트 행진'을 달성했다. 추신수, 김광현 등 스타 선수들이 포진해 있다."
삼성 라이온즈,대구,1982,대구삼성라이온즈파크,8,"2011년부터 2015년까지 5년 연속 한국시리즈 우승을 차지한 명문 구단이다. 이승엽, 박진만 등 레전드 선수를 배출했으며, 체계적인 프런트와 선수 육성 시스템으로 유명하다."
LG 트윈스,서울,1982,잠실야구장,2,"서울을 연고로 하는 인기 구단으로, 오랜 기간 우승이 없었으나 2023년 29년 만에 한국시리즈 우승을 차지했다. 김현수, 고우석 등 국가대표급 선수들이 포진해 있으며, 탄탄한 마운드가 강점이다."
NC 다이노스,창원,2011,창원NC파크,1,"2011년 창단한 신생 구단으로, 빠르게 성장하여 2020년 창단 10년 만에 한국시리즈 우승을 차지했다. 데이터 기반의 운영으로 주목받으며, 양의지, 박민우 등 핵심 선수들의 활약이 돋보인다."
롯데 자이언츠,부산,1982,사직야구장,2,"부산을 연고로 하는 구단으로, 열정적인 팬들로 유명하다. '부산 갈매기'라는 별명을 가지고 있으며, 이대호, 손아섭 등 스타 선수들이 팀을 대표한다. 최근 몇 년간 성적 부진을 겪고 있지만 재건을 위해 노력 중이다."
키움 히어로즈,서울,2008,고척스카이돔,0,"2008년 창단한 구단으로, 넥센 히어로즈에서 키움 히어로즈로 구단명을 변경했다. 한국 최초의 돔구장인 고척스카이돔을 홈구장으로 사용한다. 이정후, 김하성 등 젊은 스타 선수들의 활약으로 주목받고 있다."
KT 위즈,수원,2013,수원KT위즈파크,1,"2013년 창단한 신생 구단으로, 2021년 창단 9년 만에 정규시즌과 한국시리즈 통합 우승을 달성했다. 데이터 분석과 과학적 훈련을 중시하며, 강백호, 데스파이네 등 핵심 선수들의 활약이 돋보인다."
한화 이글스,대전,1986,한화생명 이글스파크,1,"대전을 연고로 하는 구단으로, 1999년 한국시리즈 우승을 차지했다. '절친 야구'로 유명한 정근우, 이용규 등의 선수들이 팀을 대표했다. 최근 몇 년간 성적이 부진했지만, 젊은 선수들의 육성에 힘쓰며 재건을 꾀하고 있다."
